report_date,country,region,tier,rank,game,provider,source_report
2026-03-07,Mexico,LATAM,Tier 3,3,Sugar Rush 1000,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,4,Sugar Rush,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,5,Zeus vs Hades Gods of War,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,6,Sweet Bonanza 1000,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,7,Gates of Olympus Super Scatter,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,8,Gates of Olympus,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,9,Big Bass Bonanza,Reel Kingdom,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,10,Luxe Blackjack 2,Winfinity,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,11,Big Bass Bonanza 1000,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,12,Big Bass Splash,Reel Kingdom,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,13,Mummy's Jewels,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,14,5 Lions Megaways,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,15,Wolf Gold,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,1,Sugar Rush,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,2,Gates of Olympus,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,3,Sweet Bonanza,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,4,Sugar Rush 1000,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,5,Sweet Bonanza 1000,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,6,Gates of Olympus Super Scatter,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,7,Aviator,Spribe,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,8,Gates of Olympus 1000,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,9,Le Bandit,Hacksaw Gaming,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,10,Starlight Princess,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,11,Big Bass Bonanza,Reel Kingdom,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,12,Big Bass Splash,Reel Kingdom,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,13,Buffalo King Megaways,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Chile,LATAM,Tier 3,14,Bigger Bass Splash,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
